filename;phi_str;algorithm;hill_climbing_by;controlpoints;scalar;partitions_1;partitions_2;T_playout;N_max;falsified_at_all;total_time;falsified_in_preprocessing;time_for_preprocessing;falsified_after_preprocessing;time_for_postpreprocessing
20180307_1_Input-Values_Synthesized_Non_incrementally_afc33_3_0.05_3_5_20_simulannealbnd_15;alw_[11,50](mu[t] > -0.2 and mu[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;simulannealbnd;3;0.05;3;5;15;20;0;-1;0;-1;0;-1
20180307_1_Input-Values_Synthesized_Non_incrementally_afc33_3_0.2_3_5_20_global_nelder_mead_5;alw_[11,50](mu[t] > -0.2 and mu[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;-1;0;-1;0;-1
20180307_1_Input-Values_Synthesized_Non_incrementally_afc33_3_0.2_3_5_40_cmaes_15;alw_[11,50](mu[t] > -0.2 and mu[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;-1;0;-1;0;-1
