filename;phi_str;algorithm;hill_climbing_by;controlpoints;scalar;partitions_1;partitions_2;T_playout;N_max;falsified_at_all;total_time;falsified_in_preprocessing;time_for_preprocessing;falsified_after_preprocessing;time_for_postpreprocessing
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_40_cmaes_15;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;847.706509;0;744.911405;0;102.795104
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_40_cmaes_15;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1069.112853;0;762.256984;0;306.855869
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_40_cmaes_15;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1075.77083;0;773.271478;0;302.499352
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_40_cmaes_15;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;897.979705;0;783.172502;0;114.807203
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_40_cmaes_15;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1092.609446;0;790.661069;0;301.948377
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_40_cmaes_15;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1122.930333;0;818.140897;0;304.789436
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_40_cmaes_15;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1129.89448;0;824.058084;0;305.836396
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_40_cmaes_15;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1126.772035;0;820.247498;0;306.524537
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_40_cmaes_15;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1129.647952;0;822.124582;0;307.52337
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_40_cmaes_15;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;952.671218;0;828.483781;0;124.187437
