filename;phi_str;algorithm;hill_climbing_by;controlpoints;scalar;partitions_1;partitions_2;T_playout;N_max;falsified_at_all;total_time;falsified_in_preprocessing;time_for_preprocessing;falsified_after_preprocessing;time_for_postpreprocessing
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_20_global_nelder_mead_5;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;1;9.463792;1;9.463792;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_20_global_nelder_mead_5;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;1;8.874306;1;8.874306;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_20_global_nelder_mead_5;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;1;9.016105;1;9.016105;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_20_global_nelder_mead_5;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;1;9.061343;1;9.061343;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_20_global_nelder_mead_5;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;1;9.149312;1;9.149312;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_20_global_nelder_mead_5;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;1;8.890719;1;8.890719;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_20_global_nelder_mead_5;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;1;8.971743;1;8.971743;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_20_global_nelder_mead_5;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;1;9.279525;1;9.279525;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_20_global_nelder_mead_5;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;1;9.147526;1;9.147526;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_20_global_nelder_mead_5;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;1;9.137814;1;9.137814;1;0
