filename;phi_str;algorithm;hill_climbing_by;controlpoints;scalar;partitions_1;partitions_2;T_playout;N_max;falsified_at_all;total_time;best_robustness;falsified_in_preprocessing;time_for_preprocessing;falsified_after_preprocessing;time_for_postpreprocessing
mctsbasic_AT51_5_0.2_3_5_40_cmaes_15;alw_[0.0, 30.0] ((not(gear[t] == 1.0) and ev_[0.001, 0.1] (gear[t] == 1.0)) => ev_[0.001, 0.1] alw_[0.0, 2.5] (gear[t] == 1.0));mctsbasic;cmaes;5;0.2;3;5;15;40;1;2.516243;-1;1;2.516243;1;0
mctsbasic_AT51_5_0.2_3_5_40_cmaes_15;alw_[0.0, 30.0] ((not(gear[t] == 1.0) and ev_[0.001, 0.1] (gear[t] == 1.0)) => ev_[0.001, 0.1] alw_[0.0, 2.5] (gear[t] == 1.0));mctsbasic;cmaes;5;0.2;3;5;15;40;1;1.815551;-1;1;1.815551;1;0
mctsbasic_AT51_5_0.2_3_5_40_cmaes_15;alw_[0.0, 30.0] ((not(gear[t] == 1.0) and ev_[0.001, 0.1] (gear[t] == 1.0)) => ev_[0.001, 0.1] alw_[0.0, 2.5] (gear[t] == 1.0));mctsbasic;cmaes;5;0.2;3;5;15;40;1;0.923302;-1;1;0.923302;1;0
mctsbasic_AT51_5_0.2_3_5_40_cmaes_15;alw_[0.0, 30.0] ((not(gear[t] == 1.0) and ev_[0.001, 0.1] (gear[t] == 1.0)) => ev_[0.001, 0.1] alw_[0.0, 2.5] (gear[t] == 1.0));mctsbasic;cmaes;5;0.2;3;5;15;40;1;15.198248;-1;1;15.198248;1;0
mctsbasic_AT51_5_0.2_3_5_40_cmaes_15;alw_[0.0, 30.0] ((not(gear[t] == 1.0) and ev_[0.001, 0.1] (gear[t] == 1.0)) => ev_[0.001, 0.1] alw_[0.0, 2.5] (gear[t] == 1.0));mctsbasic;cmaes;5;0.2;3;5;15;40;1;22.98248;-1;1;22.98248;1;0
mctsbasic_AT51_5_0.2_3_5_40_cmaes_15;alw_[0.0, 30.0] ((not(gear[t] == 1.0) and ev_[0.001, 0.1] (gear[t] == 1.0)) => ev_[0.001, 0.1] alw_[0.0, 2.5] (gear[t] == 1.0));mctsbasic;cmaes;5;0.2;3;5;15;40;1;10.329271;-1;1;10.329271;1;0
mctsbasic_AT51_5_0.2_3_5_40_cmaes_15;alw_[0.0, 30.0] ((not(gear[t] == 1.0) and ev_[0.001, 0.1] (gear[t] == 1.0)) => ev_[0.001, 0.1] alw_[0.0, 2.5] (gear[t] == 1.0));mctsbasic;cmaes;5;0.2;3;5;15;40;1;6.057906;-1;1;6.057906;1;0
mctsbasic_AT51_5_0.2_3_5_40_cmaes_15;alw_[0.0, 30.0] ((not(gear[t] == 1.0) and ev_[0.001, 0.1] (gear[t] == 1.0)) => ev_[0.001, 0.1] alw_[0.0, 2.5] (gear[t] == 1.0));mctsbasic;cmaes;5;0.2;3;5;15;40;1;0.88882;-1;1;0.88882;1;0
mctsbasic_AT51_5_0.2_3_5_40_cmaes_15;alw_[0.0, 30.0] ((not(gear[t] == 1.0) and ev_[0.001, 0.1] (gear[t] == 1.0)) => ev_[0.001, 0.1] alw_[0.0, 2.5] (gear[t] == 1.0));mctsbasic;cmaes;5;0.2;3;5;15;40;1;9.469837;-1;1;9.469837;1;0
mctsbasic_AT51_5_0.2_3_5_40_cmaes_15;alw_[0.0, 30.0] ((not(gear[t] == 1.0) and ev_[0.001, 0.1] (gear[t] == 1.0)) => ev_[0.001, 0.1] alw_[0.0, 2.5] (gear[t] == 1.0));mctsbasic;cmaes;5;0.2;3;5;15;40;1;10.034143;-1;1;10.034143;1;0
