filename;phi_str;algorithm;hill_climbing_by;controlpoints;scalar;partitions_1;partitions_2;T_playout;N_max;falsified_at_all;total_time;falsified_in_preprocessing;time_for_preprocessing;falsified_after_preprocessing;time_for_postpreprocessing
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;285.453663;0;183.872615;0;101.581048
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;493.039543;0;186.492416;0;306.547127
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;299.050597;0;192.495938;0;106.554659
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;497.729811;0;191.396545;0;306.333266
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;495.009743;0;190.454987;0;304.554756
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;499.379636;0;193.720381;0;305.659255
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;502.503498;0;199.169993;0;303.333505
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;510.037117;0;202.199758;0;307.837359
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;511.625169;0;202.952817;0;308.672352
20180307_1_Input-Values_Synthesized_Non_incrementally_b1_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]((F[t] < 0 or F[t] > 500) or (I[t] < 2500));20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;511.074871;0;201.428755;0;309.646116
