filename;phi_str;algorithm;hill_climbing_by;controlpoints;scalar;partitions_1;partitions_2;T_playout;N_max;falsified_at_all;total_time;falsified_in_preprocessing;time_for_preprocessing;falsified_after_preprocessing;time_for_postpreprocessing
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_40_cmaes_15;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;842.762279;0;738.63527;0;104.127009
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_40_cmaes_15;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1074.737913;0;772.304806;0;302.433107
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_40_cmaes_15;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1089.356097;0;782.30069;0;307.055407
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_40_cmaes_15;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1084.689422;0;779.30795;0;305.381472
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_40_cmaes_15;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1098.332238;0;793.530689;0;304.801549
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_40_cmaes_15;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1135.301289;0;830.681504;0;304.619785
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_40_cmaes_15;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1139.346229;0;830.492258;0;308.853971
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_40_cmaes_15;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1129.845612;0;827.280642;0;302.56497
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_40_cmaes_15;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1142.936727;0;837.305372;0;305.631355
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_40_cmaes_15;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;0;1156.337263;0;854.027924;0;302.309339
